終着駅,,汐浦・中華街,二鳥新町,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,二鳥新町,二鳥新町,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,九十九市場,二鳥新町,二鳥新町,新二鳥,九十九市場,二俣湖,二鳥新町,汐浦・中華街,二鳥新町,二鳥新町,新二鳥,二鳥新町,汐浦・中華街,二鳥新町,汐浦・中華街,汐浦・中華街,九十九市場,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,九十九市場,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,新二鳥,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,新二鳥,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,新二鳥,二鳥新町,九十九市場,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二俣湖,九十九市場,二鳥新町,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,葉山二俣国大,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,新二鳥,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浦・中華街,二鳥新町,二鳥新町,新二鳥,汐浦大橋,汐浦・中華街,二鳥新町,二鳥新町,汐浦・中華街,汐浪公園,二鳥新町,二俣湖,九十九市場
終着駅作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入区,,,入区,入区,,,,,,,,,,,,入区,,,,,,入区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入区,,,,,,,,入区,,,,,,,,,,,入区,,入区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入区,入区,入区,,,,,,,,,入区,,,,,,,,,,,入区,,,,,,,,,入区,,,,入区,入区,,入区,入区
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 83650,,, 85800, 84130,,,,,,,,,,,, 85930,,,,,, 91800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204020,,,,,,,,205620,,,,,,,,,,,212000,,211225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224000,222845,224930,,,,,,,,,230410,,,,,,,,,,,235620,,,,,,,,, 04300,,,, 05705, 05910,, 10400, 11135
菊中市,番線,,,,3,,,3,,,,,,3,,3,2,,,3,2,,,,3,2,,,3,2,,,3,2,,,,3,1,2,,,4,1,2,,,3,1,2,,,4,1,2,,,4,3,2,,,4,1,3,,,4,1,2,,,4,1,3,,,4,1,2,,,4,1,3,,,4,1,2,,,4,1,3,,,4,1,2,,,4,1,3,,,4,1,2,,,,4,1,3,,,4,1,2,,,4,1,,3,2,,4,,2,,,,4,2,,,3,1,2,,,3,2,,,3,2,,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,,3,2,,,3,2,,,,3,2,,,,3,2,,,,3,2,,,4,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,1,,,3,,4,1,2,,,3,2,,,3,2,,,3,2,,,3,2,,,3,2,,,,3,2,,,3,2,,,,3,2,,3,2,,,3,2,,4,3,1,,,3,2,,,3,2,,,3,2,,,3,2,,,,3,2,,,3,2,3
菊中市,発,,,, 44800,,, 50800,,,,,, 51800,, 53000, 53500,,, 54000, 54500,,,, 55000, 55500,,, 60000, 60500,,, 61000, 61500,,,, 61630, 62000, 62330,,, 62430, 62800, 63130,,, 63300, 63800, 63900,,, 64000, 64600, 64700,,, 64800, 65300, 65500,,, 65600, 70100, 70300,,, 70400, 70900, 71100,,, 71200, 71700, 71900,,, 72000, 72500, 72700,,, 72800, 73300, 73500,,, 73600, 74100, 74300,,, 74400, 74900, 75100,,, 75200, 75700, 75900,,, 80000, 80500, 80700,,, 80800, 81300, 81500,,,, 81600, 82100, 82300,,, 82400, 82900, 83000,,, 83200, 83700,, 83800, 84100,, 84200,, 84815,,,, 85200, 85815,,, 90200, 90630, 90815,,, 91200, 91815,,, 92200, 92815,,,, 93200, 93815,,, 94200, 94815,,, 95200, 95815,,,100200,100815,,,101200,101815,,,102200,102815,,,103200,103815,,,104200,104815,,,105200,105815,,,110200,110815,,,111200,111815,,,112200,112815,,,113200,113815,,,114200,114815,,,115200,115815,,,120200,120815,,,121200,121815,,,122200,122815,,,123200,123815,,,124200,124815,,,125200,125815,,,130200,130815,,,131200,131815,,,132200,132815,,,133200,133815,,,134200,134815,,,135200,135815,,,140200,140815,,,141200,141815,,,142200,142815,,,143200,143815,,,144200,144815,,,145200,145815,,,150200,150815,,,151200,151815,,,152200,152815,,,153200,153815,,,154200,154815,,,155200,155815,,,160200,160815,,,161200,161815,,,162200,162815,,,163200,163815,,,164200,164815,,,,165200,165815,,,170200,170815,,,,171200,171815,,,,172200,172815,,,,173010,173500,,,173810,174430,,,174610,175100,,,175410,175900,,,180210,180700,,,181010,181500,,,181810,182300,,,182610,183100,,,183410,183900,,,184210,184700,,,185010,185500,,,185810,190300,,,190610,191100,,,191410,191900,,,192210,192700,,,193010,193500,,,193810,194300,,,194610,195100,,,195410,195900,,,200210,200700,,,201010,201500,,,201810,202425,,,202610,203100,,,203610,204225,,,204610,205100,,,205310,,205410,205740,210225,,,210610,211100,,,211610,212225,,,212610,213225,,,213610,214100,,,214610,215100,,,,215610,220100,,,220610,221100,,,,221610,222200,,222610,223100,,,224100,224600,,224800,225600,230100,,,231100,231600,,,232600,233100,,,234100,234600,,, 00100, 00600,,,, 02100, 02600,,, 04100, 04600, 05900
石,発,,,, 45010,,, 51010,,,,,, 52010,, 53210, ﾚ,,, 54210, ﾚ,,,, 55210, ﾚ,,, 60210, ﾚ,,, 61210, ﾚ,,,, 61840, ﾚ, 62540,,, 62640, ﾚ, 63340,,, 63510, ﾚ, 64110,,, 64210, ﾚ, 64910,,, 65010, ﾚ, 65710,,, 65810, ﾚ, 70510,,, 70610, ﾚ, 71310,,, 71410, ﾚ, 72110,,, 72210, ﾚ, 72910,,, 73010, ﾚ, 73710,,, 73810, ﾚ, 74510,,, 74610, ﾚ, 75310,,, 75410, ﾚ, 80110,,, 80210, ﾚ, 80910,,, 81010, ﾚ, 81710,,,, 81810, ﾚ, 82510,,, 82610, ﾚ, 83210,,, 83410, ﾚ,, 84010, ﾚ,, 84410,, ﾚ,,,, 85410, ﾚ,,, 90410, ﾚ, ﾚ,,, 91410, ﾚ,,, 92410, ﾚ,,,, 93410, ﾚ,,, 94410, ﾚ,,, 95410, ﾚ,,,100410, ﾚ,,,101410, ﾚ,,,102410, ﾚ,,,103410, ﾚ,,,104410, ﾚ,,,105410, ﾚ,,,110410, ﾚ,,,111410, ﾚ,,,112410, ﾚ,,,113410, ﾚ,,,114410, ﾚ,,,115410, ﾚ,,,120410, ﾚ,,,121410, ﾚ,,,122410, ﾚ,,,123410, ﾚ,,,124410, ﾚ,,,125410, ﾚ,,,130410, ﾚ,,,131410, ﾚ,,,132410, ﾚ,,,133410, ﾚ,,,134410, ﾚ,,,135410, ﾚ,,,140410, ﾚ,,,141410, ﾚ,,,142410, ﾚ,,,143410, ﾚ,,,144410, ﾚ,,,145410, ﾚ,,,150410, ﾚ,,,151410, ﾚ,,,152410, ﾚ,,,153410, ﾚ,,,154410, ﾚ,,,155410, ﾚ,,,160410, ﾚ,,,161410, ﾚ,,,162410, ﾚ,,,163410, ﾚ,,,164410, ﾚ,,,,165410, ﾚ,,,170410, ﾚ,,,,171410, ﾚ,,,,172410, ﾚ,,,,173220, ﾚ,,,174020, ﾚ,,,174820, ﾚ,,,175620, ﾚ,,,180420, ﾚ,,,181220, ﾚ,,,182020, ﾚ,,,182820, ﾚ,,,183620, ﾚ,,,184420, ﾚ,,,185220, ﾚ,,,190020, ﾚ,,,190820, ﾚ,,,191620, ﾚ,,,192420, ﾚ,,,193220, ﾚ,,,194020, ﾚ,,,194820, ﾚ,,,195620, ﾚ,,,200420, ﾚ,,,201220, ﾚ,,,202020, ﾚ,,,202820, ﾚ,,,203820, ﾚ,,,204820, ﾚ,,, ﾚ,,205620,205950, ﾚ,,,210820, ﾚ,,,211820, ﾚ,,,212820, ﾚ,,,213820, ﾚ,,,214820, ﾚ,,,,215820, ﾚ,,,220820, ﾚ,,,,221820,222410,,222820, ﾚ,,,224310, ﾚ,,225010,225810, ﾚ,,,231310, ﾚ,,,232810, ﾚ,,,234310, ﾚ,,, 00310, ﾚ,,,, 02310, ﾚ,,, 04310, ﾚ, 10110
永穂町,発,,,, 45310,,, 51310,,,,,, 52310,, 53510, ﾚ,,, 54510, ﾚ,,,, 55510, ﾚ,,, 60510, ﾚ,,, 61510, ﾚ,,,, 62140, ﾚ, ﾚ,,, 62940, ﾚ, ﾚ,,, 63810, ﾚ, ﾚ,,, 64510, ﾚ, ﾚ,,, 65310, ﾚ, ﾚ,,, 70110, ﾚ, ﾚ,,, 70910, ﾚ, ﾚ,,, 71710, ﾚ, ﾚ,,, 72510, ﾚ, ﾚ,,, 73310, ﾚ, ﾚ,,, 74110, ﾚ, ﾚ,,, 74910, ﾚ, ﾚ,,, 75710, ﾚ, ﾚ,,, 80510, ﾚ, ﾚ,,, 81310, ﾚ, ﾚ,,,, 82110, ﾚ, ﾚ,,, 82910, ﾚ, ﾚ,,, 83710, ﾚ,, ﾚ, ﾚ,, 84710,, ﾚ,,,, 85710, ﾚ,,, 90710, ﾚ, ﾚ,,, 91710, ﾚ,,, 92710, ﾚ,,,, 93710, ﾚ,,, 94710, ﾚ,,, 95710, ﾚ,,,100710, ﾚ,,,101710, ﾚ,,,102710, ﾚ,,,103710, ﾚ,,,104710, ﾚ,,,105710, ﾚ,,,110710, ﾚ,,,111710, ﾚ,,,112710, ﾚ,,,113710, ﾚ,,,114710, ﾚ,,,115710, ﾚ,,,120710, ﾚ,,,121710, ﾚ,,,122710, ﾚ,,,123710, ﾚ,,,124710, ﾚ,,,125710, ﾚ,,,130710, ﾚ,,,131710, ﾚ,,,132710, ﾚ,,,133710, ﾚ,,,134710, ﾚ,,,135710, ﾚ,,,140710, ﾚ,,,141710, ﾚ,,,142710, ﾚ,,,143710, ﾚ,,,144710, ﾚ,,,145710, ﾚ,,,150710, ﾚ,,,151710, ﾚ,,,152710, ﾚ,,,153710, ﾚ,,,154710, ﾚ,,,155710, ﾚ,,,160710, ﾚ,,,161710, ﾚ,,,162710, ﾚ,,,163710, ﾚ,,,164710, ﾚ,,,,165710, ﾚ,,,170710, ﾚ,,,,171710, ﾚ,,,,172710, ﾚ,,,,173520, ﾚ,,,174320, ﾚ,,,175120, ﾚ,,,175920, ﾚ,,,180720, ﾚ,,,181520, ﾚ,,,182320, ﾚ,,,183120, ﾚ,,,183920, ﾚ,,,184720, ﾚ,,,185520, ﾚ,,,190320, ﾚ,,,191120, ﾚ,,,191920, ﾚ,,,192720, ﾚ,,,193520, ﾚ,,,194320, ﾚ,,,195120, ﾚ,,,195920, ﾚ,,,200720, ﾚ,,,201520, ﾚ,,,202320, ﾚ,,,203120, ﾚ,,,204120, ﾚ,,,205120, ﾚ,,, ﾚ,,205920,210250, ﾚ,,,211120, ﾚ,,,212120, ﾚ,,,213120, ﾚ,,,214120, ﾚ,,,215120, ﾚ,,,,220120, ﾚ,,,221120, ﾚ,,,,222120, ﾚ,,223120, ﾚ,,,224610, ﾚ,, ﾚ,230110, ﾚ,,,231610, ﾚ,,,233110, ﾚ,,,234610, ﾚ,,, 00610, ﾚ,,,, 02610, ﾚ,,, 04610, ﾚ, 10410
四津川大学前,着,,,, 45515,,, 51515,,,,,, 52515,, 53715, 53950,,, 54715, 54950,,,, 55715, 55950,,, 60715, 60950,,, 61715, 61950,,,, 62345, 62450, 62930,,, 63145, 63250, 63730,,, 64015, 64250, 64500,,, 64715, 65050, 65300,,, 65515, 65750, 70100,,, 70315, 70550, 70900,,, 71115, 71350, 71700,,, 71915, 72150, 72500,,, 72715, 72950, 73300,,, 73515, 73750, 74100,,, 74315, 74550, 74900,,, 75115, 75350, 75700,,, 75915, 80150, 80500,,, 80715, 80950, 81300,,, 81515, 81750, 82100,,,, 82315, ﾚ, 82900,,, 83115, 83350, 83600,,, 83915, 84150,, 84400, ﾚ,, 84915,, ﾚ,,,, 85915, ﾚ,,, 90915, 91130?, ﾚ,,, 91915, ﾚ,,, 92915, ﾚ,,,, 93915, ﾚ,,, 94915, ﾚ,,, 95915, ﾚ,,,100915, ﾚ,,,101915, ﾚ,,,102915, ﾚ,,,103915, ﾚ,,,104915, ﾚ,,,105915, ﾚ,,,110915, ﾚ,,,111915, ﾚ,,,112915, ﾚ,,,113915, ﾚ,,,114915, ﾚ,,,115915, ﾚ,,,120915, ﾚ,,,121915, ﾚ,,,122915, ﾚ,,,123915, ﾚ,,,124915, ﾚ,,,125915, ﾚ,,,130915, ﾚ,,,131915, ﾚ,,,132915, ﾚ,,,133915, ﾚ,,,134915, ﾚ,,,135915, ﾚ,,,140915, ﾚ,,,141915, ﾚ,,,142915, ﾚ,,,143915, ﾚ,,,144915, ﾚ,,,145915, ﾚ,,,150915, ﾚ,,,151915, ﾚ,,,152915, ﾚ,,,153915, ﾚ,,,154915, ﾚ,,,155915, ﾚ,,,160915, ﾚ,,,161915, ﾚ,,,162915, ﾚ,,,163915, ﾚ,,,164915, ﾚ,,,,165915, ﾚ,,,170915, ﾚ,,,,171915, ﾚ,,,,172915, ﾚ,,,,173725,173950,,,174525, ﾚ,,,175325,175550,,,180125,180350,,,180925,181150,,,181725,181950,,,182525,182750,,,183325,183550,,,184125,184350,,,184925,185150,,,185725,185950,,,190525,190750,,,191325,191550,,,192125,192350,,,192925,193150,,,193725,193950,,,194525,194750,,,195325,195550,,,200125,200350,,,200925,201150,,,201725,201950,,,202525, ﾚ,,,203325,203550,,,204325, ﾚ,,,205325,205550,,,205800,,210125,210455, ﾚ,,,211325,211550,,,212325, ﾚ,,,213325, ﾚ,,,214325,214550,,,215325,215550,,,,220325,220550,,,221325,221550,,,,222325,222800,,223325,223550,,,224815,225050,,225400,230315,230550,,,231815,232050,,,233315,233550,,,234815,235050,,, 00815, 01050,,,, 02815, 03050,,, 04815, 05050, 10615
四津川大学前,番線,,,,3,,,3,,,2,,,3,,3,3,,,3,3,,,,3,3,,,3,3,,,3,3,,,,2,3,3,,,2,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,3,3,3,,,,3,3,3,,,3,3,3,,2,3,3,,3,3,,3,,3,,,2,3,3,,,3,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,,3,2,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,3,3,,3,3,,,3,3,,3,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,3
四津川大学前,発,,,, 45545,,, 51545,,, 52600,,, 52745,, 53745, 54020,,, 54745, 55020,,,, 55745, 60020,,, 60745, 61020,,, 61745, 62020,,,, 62630, 62520, 63000,,, 63430, 63320, 63800,,, 64045, 64320, 64530,,, 64745, 65120, 65330,,, 65545, 65820, 70130,,, 70345, 70620, 70930,,, 71145, 71420, 71730,,, 71945, 72220, 72530,,, 72745, 73020, 73330,,, 73545, 73820, 74130,,, 74345, 74620, 74930,,, 75145, 75420, 75730,,, 75945, 80220, 80530,,, 80745, 81020, 81330,,, 81545, 81820, 82130,,,, 82345, ﾚ, 82930,,, 83145, 83420, 83630,, 83800, 83945, 84220,, 84430, ﾚ,, 84945,, ﾚ,,, 85600, 85945, ﾚ,,, 90945, 91330?, ﾚ,,, 91945, ﾚ,,, 92945, ﾚ,,,, 93945, ﾚ,,, 94945, ﾚ,,, 95945, ﾚ,,,100945, ﾚ,,,101945, ﾚ,,,102945, ﾚ,,,103945, ﾚ,,,104945, ﾚ,,,105945, ﾚ,,,110945, ﾚ,,,111945, ﾚ,,,112945, ﾚ,,,113945, ﾚ,,,114945, ﾚ,,,115945, ﾚ,,,120945, ﾚ,,,121945, ﾚ,,,122945, ﾚ,,,123945, ﾚ,,,124945, ﾚ,,,125945, ﾚ,,,130945, ﾚ,,,131945, ﾚ,,,132945, ﾚ,,,133945, ﾚ,,,134945, ﾚ,,,135945, ﾚ,,,140945, ﾚ,,,141945, ﾚ,,,142945, ﾚ,,,143945, ﾚ,,,144945, ﾚ,,,145945, ﾚ,,,150945, ﾚ,,,151945, ﾚ,,,152945, ﾚ,,,153945, ﾚ,,,154945, ﾚ,,,155945, ﾚ,,,160945, ﾚ,,,161945, ﾚ,,,162945, ﾚ,,,163945, ﾚ,,,164945, ﾚ,,,,165945, ﾚ,,,170945, ﾚ,,,,171945, ﾚ,,,,172945, ﾚ,,,,173755,174020,,,174555, ﾚ,,,175355,175620,,,180155,180420,,,180955,181220,,,181755,182020,,,182555,182820,,,183355,183620,,,184155,184420,,,184955,185220,,,185755,190020,,,190555,190820,,,191355,191620,,,192155,192420,,,192955,193220,,,193755,194020,,,194555,194820,,,195355,195620,,,200155,200420,,,200955,201220,,,201755,202020,,,202555, ﾚ,,,203355,203620,,,204355, ﾚ,,,205355,205620,,,205830,,210155,210720, ﾚ,,,211355,211620,,,212355, ﾚ,,,213355, ﾚ,,,214355,214620,,,215355,215620,,,,220355,220620,,,221355,221620,,,,222355,222830,,223355,223620,,,224845,225120,,225430,230345,230620,,,231845,232120,,,233345,233620,,,234845,235120,,, 00845, 01120,,,, 02845, 03120,,, 04845, 05120, 10645
